Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Grupo;Valor_Total
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;Apartamento;2260.0
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;Casa;7000.0
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;Apartamento;1210.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;Apartamento;1030.0
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;Apartamento;1618.0
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;Apartamento;2216.0
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;Apartamento;1969.0
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;Apartamento;2611.0
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;Apartamento;2301.0
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;Apartamento;15803.0
Flat;Botafogo;3;1;1;80;3800.0;1040.0;0.0;Apartamento;4840.0
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;Apartamento;1278.0
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;Apartamento;2436.0
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;Apartamento;2738.0
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;Casa;10195.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;Apartamento;1670.0
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;Apartamento;2700.0
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;Apartamento;7900.0
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;Apartamento;9563.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;Apartamento;1547.0
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;Apartamento;6200.0
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;Casa;12000.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;Apartamento;3240.0
